RPM,Torque,HP,Gear Ratios,,C56,,,,,,C60,,,,,,,,
8869,114,192.5106626,3.166,,Gear,Ratio,Eff Ratio,Speed Constant,Top Speed,RPM,Gear,Ratio,Eff Ratio,Speed Constant,Top Speed,RPM,Speed,RPM,corrected speed
8244,129,202.4897182,2.05,,1,3.17,0.073158027,568.0853024,41.56,,1,3.166,0.069740775,616.0161803,42.96144578,9000,39.62,8300,42.96144578
7619,136,197.2932216,1.481,,2,1.9,0.122058393,568.088752,69.34,,2,2.05,0.107706972,616.0288505,66.35060241,9000,61.19,8300,66.35060241
6994,140,186.4356436,1.166,,3,1.39,0.166842407,568.0809904,94.78,,3,1.481,0.149087977,616.0347437,91.84337349,9000,84.7,8300,91.84337349
6369,127,154.0104722,0.916,,4,1.03,0.225156258,568.0943576,127.91,,4,1.166,0.189364746,616.0228592,116.653012,9000,107.58,8300,116.653012
5744,126,137.8035034,0.725,,5,0.82,0.282818227,568.1034128,160.67,,5,0.916,0.241047264,616.0167696,148.4891566,9000,136.94,8300,148.4891566
5119,133,129.6319497,,,FD,4.312,,,,,6,0.725,0.30455075,615.9932461,187.6012048,9000,173.01,8300,187.6012048
4494,129,110.3819497,,,,,,,,,FD,4.529,,,,,,,
3869,112,82.50723534,,,,,,,,,,,,,,,,,
3244,110,67.94364052,,,,,,,,,,,,,,,,,
2619,108,53.85605484,,,,,,,,,,,,,,,,,
1994,90,34.16984006,,,,,,,,,,,,,,,,,
